id,name,description,category
1,Apple Watch Series 9,The latest smart watch with advanced health sensors and a brighter display.,Electronics
2,Google Pixel 8 Pro,A flagship smartphone with a powerful Tensor G3 chip and an AI-enhanced camera.,Electronics
3,Bose QuietComfort Earbuds II,Truly wireless earbuds with world-class noise cancellation and a comfortable fit.,Audio
4,Microsoft Surface Pro 9,A versatile 2-in-1 tablet and laptop with powerful performance.,Electronics
5,Sony PlayStation 5,The next-gen gaming console with lightning-fast loading and immersive haptic feedback.,Gaming
6,Xbox Series X,A powerful gaming console with 4K gaming at up to 120 FPS.,Gaming
7,Nespresso Vertuo Plus,A single-serve coffee and espresso machine with a modern design.,Kitchen
8,Keurig K-Elite Coffee Maker,A versatile coffee maker that brews multiple cup sizes.,Kitchen
9,Le Creuset Dutch Oven,A durable cast-iron pot perfect for slow-cooking and baking.,Kitchen
10,Vitamix Ascent Series Blender,A high-performance blender with smart technology and a digital timer.,Kitchen
11,Dyson V15 Detect,A cordless vacuum cleaner with a laser that reveals microscopic dust.,Home Appliances
12,iRobot Roomba j7+,A self-emptying robot vacuum with smart navigation and obstacle avoidance.,Home Appliances
13,Samsung Neo QLED 4K TV,A stunning television with an ultra-thin profile and incredible color volume.,Electronics
14,LG C3 OLED TV,A popular OLED television known for its perfect blacks and vibrant picture.,Electronics
15,Anker PowerCore III Elite,A high-capacity portable charger for phones, tablets, and laptops.,Electronics
16,JBL Flip 6,A portable waterproof Bluetooth speaker with bold sound.,Audio
17,Roku Express 4K+,A streaming media player that brings 4K streaming to any TV.,Electronics
18,Apple MacBook Pro M3,A powerful laptop for professionals, with the latest Apple M3 chip.,Electronics
19,HP Spectre x360,A sleek and powerful convertible laptop with a 360-degree hinge.,Electronics
20,Logitech C920x HD Pro Webcam,A reliable webcam for video calls and streaming.,Computer Accessories
